               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,              0.0133,           0.0091498,           0.0057924,             0.97027,             0.96007,             0.96891,             0.84062,           0.0057317,           0.0030197,          0.00082041,           0.0086833,           0.0086833,           0.0086833
                 135,             0.01288,           0.0091051,           0.0055828,             0.97025,              0.9599,             0.96891,             0.84046,           0.0057329,           0.0030182,          0.00076944,           0.0086734,           0.0086734,           0.0086734
                 136,            0.012701,           0.0090815,           0.0060431,             0.97065,              0.9596,             0.97008,             0.84053,           0.0057269,           0.0030178,          0.00073269,           0.0086635,           0.0086635,           0.0086635
                 137,            0.013628,           0.0093105,           0.0055397,             0.97044,              0.9597,             0.96885,             0.84058,             0.00572,           0.0030174,           0.0006986,           0.0086536,           0.0086536,           0.0086536
                 138,            0.013695,           0.0092586,           0.0056198,             0.97208,             0.95783,             0.97005,             0.84126,           0.0057186,           0.0030163,          0.00070544,           0.0086437,           0.0086437,           0.0086437
                 139,            0.013772,           0.0091315,            0.005843,             0.97254,             0.95792,             0.97015,             0.84116,            0.005718,           0.0030145,          0.00070987,           0.0086338,           0.0086338,           0.0086338
                 140,            0.013133,           0.0090692,           0.0057786,             0.97421,             0.95808,             0.97022,             0.84119,           0.0057107,           0.0030135,          0.00070677,           0.0086239,           0.0086239,           0.0086239
                 141,            0.012924,           0.0091326,            0.005641,             0.97455,             0.95803,             0.97023,             0.84193,           0.0057113,           0.0030127,          0.00071577,            0.008614,            0.008614,            0.008614
                 142,            0.013059,           0.0090396,           0.0059057,             0.97399,             0.95762,             0.97034,             0.84185,           0.0057168,           0.0030111,          0.00071262,           0.0086041,           0.0086041,           0.0086041
                 143,            0.013627,           0.0091923,           0.0055157,              0.9735,             0.95903,             0.97051,             0.84198,           0.0057108,           0.0030095,          0.00070454,           0.0085942,           0.0085942,           0.0085942
                 144,            0.013505,           0.0091212,           0.0057993,             0.97379,             0.95892,             0.97054,              0.8423,           0.0057126,           0.0030091,          0.00069745,           0.0085843,           0.0085843,           0.0085843
                 145,            0.013464,           0.0090694,           0.0055507,             0.97387,             0.95987,             0.97063,             0.84228,           0.0057134,           0.0030081,          0.00068505,           0.0085744,           0.0085744,           0.0085744
                 146,            0.013789,           0.0091151,            0.005528,             0.97381,             0.95956,             0.97071,              0.8424,           0.0057123,           0.0030078,          0.00067415,           0.0085645,           0.0085645,           0.0085645
                 147,            0.013224,           0.0091777,           0.0058309,             0.97312,             0.95992,             0.97075,             0.84287,             0.00571,           0.0030067,          0.00066787,           0.0085546,           0.0085546,           0.0085546
                 148,            0.013072,           0.0090414,           0.0057056,             0.97385,             0.95936,             0.97079,             0.84343,           0.0057109,           0.0030067,          0.00066185,           0.0085447,           0.0085447,           0.0085447
